feature_set,features,feature_count,horizon,window_start,window_end,nobs,country_n,year_min,year_max,regressor_count,rank,full_rank,condition_number,columns,missing_countries,output_interaction_wald_h8,output_interaction_df,output_interaction_p_h8,output_interaction_rank,support_sample_n,support_p_h8,mahalanobis_h8,max_abs_feature_corr_h8,max_abs_profile_z_2025,status_y_h8,denom_t_y_h8,profile_ratio_p_y_h8,incremental_y_h8,K_Y_h8,status_g_h8,denom_t_g_h8,profile_ratio_p_g_h8,incremental_g_h8,K_G_h8,rank_pass,condition_pass,feature_correlation_pass,support_pass,profile_z_pass,denominator_pass,output_interaction_pass,all_diagnostic_gates_pass,screen_status,selection_reason
trade+liq,trade|liq,2,8,2004,2017,378,27,2004,2017,10,10,True,27.0939913671797,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,14.334226665375315,2,0.0007715467184191959,10,378,0.9112592327321398,0.18585572753721052,0.14824154427318795,0.5755551475575922,OK,47.13249202892806,1.3531333009630941e-07,0.35564939092780334,1.8346807701247292,OK,47.13249202892806,0.107907233271894,0.06182614126465518,0.7293231893050262,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
trade,trade,1,8,2004,2017,378,27,2004,2017,8,8,True,26.921438632763216,shock_G_I|shock_G_C|trade_z_lag1|shock_G_I_x_trade|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,9.55142819437391,1,0.0019979390386957864,8,378,0.956246245168036,0.003010136635409263,0.0,0.16113002632933232,OK,35.27257292971015,0.0002456787316724718,0.31466721817583715,1.7978399426675131,OK,35.27257292971015,0.06778144006837827,0.07196875783203038,0.726559047560126,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
liq,liq,1,8,2004,2017,378,27,2004,2017,8,8,True,18.433149501910037,shock_G_I|shock_G_C|liq_z_lag1|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,8.682748675022607,1,0.003212361417673919,8,378,0.6783273220708311,0.17201484730628583,0.0,0.5755551475575922,OK,66.44246416124012,0.0003236603208907063,0.3014118337022739,2.235753747310901,OK,66.44246416124012,0.1882668664073197,0.05186848797146597,0.7671883315182209,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
trade+debt+liq,trade|debt|liq,3,8,2004,2017,378,27,2004,2017,12,12,True,29.823564437415964,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|liq_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,8.758763473859457,3,0.03267630108112318,12,378,0.9723536990956151,0.231482616085061,0.4341857483303197,0.5755551475575922,OK,115.66347200626345,8.778996773317616e-06,0.32567129764653413,1.184214409247155,OK,115.66347200626345,0.08128154612270833,0.05114737235518222,0.6840044349530185,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
trade+debt,trade|debt,2,8,2004,2017,378,27,2004,2017,10,10,True,29.364574723907864,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,6.445017987276349,2,0.03985493692808067,10,378,0.998353411287846,0.0032958916585891667,0.24484793213661,0.16113002632933232,OK,82.42641891959192,0.0009656633654804292,0.3049791123157723,1.1414067593727162,OK,82.42641891959192,0.04641809584808332,0.05524501994802852,0.6811918002191828,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
trade+liq+log_gdp_pc,trade|liq|log_gdp_pc,3,8,2004,2017,378,27,2004,2017,12,12,True,27.848572112909245,shock_G_I|shock_G_C|trade_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,7.085439078662914,3,0.06922382619226533,12,378,0.910413918839706,0.5382377746676575,0.5059009838499503,0.5755551475575922,OK,23.037412317445863,0.0210223157898064,0.27799304427276256,0.5652784287223208,OK,23.037412317445863,0.019530426096820097,0.1311569041730692,0.6949573945334977,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
debt,debt,1,8,2004,2017,378,27,2004,2017,8,8,True,25.974819518746465,shock_G_I|shock_G_C|debt_z_lag1|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,3.073500280024994,1,0.07957795840696462,8,378,0.9762080081774523,0.000889426840069538,0.0,0.08146573873820974,OK,98.14828323724679,0.15340884818084222,0.1971599224646352,1.7813435168502745,OK,98.14828323724679,0.04666800147446937,0.063377967025245,0.7526616391748677,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
trade+log_gdp_pc,trade|log_gdp_pc,2,8,2004,2017,378,27,2004,2017,10,10,True,27.63254668861284,shock_G_I|shock_G_C|trade_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,5.056478893941582,2,0.07979938774128428,10,378,0.9564796545833864,0.08899152203951313,0.01673846689910315,0.16113002632933232,OK,19.68542901937121,0.1285503889470414,0.19987461758212485,0.6418723846749156,OK,19.68542901937121,0.01865502272327202,0.1447339814156995,0.6904762921419344,True,True,True,True,True,True,True,True,retained,all_diagnostic_gates_pass
debt+liq,debt|liq,2,8,2004,2017,378,27,2004,2017,10,10,True,26.673004101787434,shock_G_I|shock_G_C|debt_z_lag1|liq_z_lag1|shock_G_I_x_debt|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,4.327536512759998,2,0.11489136418172728,10,378,0.8930130085399594,0.22630826195548415,0.4341857483303197,0.5755551475575922,OK,121.03393656595034,0.009645428740041817,0.25919891312977617,1.808652021470804,OK,121.03393656595034,0.08586644090354434,0.05384065573331465,0.7434379170769627,True,True,True,True,True,True,False,False,not_retained,output_interaction
trade+debt+log_gdp_pc,trade|debt|log_gdp_pc,3,8,2004,2017,378,27,2004,2017,12,12,True,31.36384043718787,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,5.710494236224388,3,0.12657698085532337,12,378,0.9930762962009395,0.08941835859610009,0.24484793213661,0.16113002632933232,OK,32.39866688520998,0.012912647982289416,0.2982844201050425,0.3264013654807776,OK,32.39866688520998,0.0013923235569310854,0.12238556607718017,0.6995435317862801,True,True,True,True,True,True,False,False,not_retained,output_interaction
trade+debt+liq+log_gdp_pc,trade|debt|liq|log_gdp_pc,4,8,2004,2017,378,27,2004,2017,14,14,True,31.85725038091173,shock_G_I|shock_G_C|trade_z_lag1|debt_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_trade|shock_G_I_x_debt|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,6.289289439057385,4,0.17856052713728268,14,378,0.9612808023820477,0.6158977964212401,0.5059009838499503,0.5755551475575922,OK,42.424839889873404,0.00874931117235711,0.3420001679334454,0.32665559341547235,OK,42.424839889873404,0.00030755858775322054,0.11912937162626915,0.7056236349953946,True,True,True,True,True,True,False,False,not_retained,output_interaction
liq+log_gdp_pc,liq|log_gdp_pc,2,8,2004,2017,378,27,2004,2017,10,10,True,19.715901639837575,shock_G_I|shock_G_C|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,2.548524884584482,2,0.2796371407085127,10,378,0.7736383114400047,0.5133016249824435,0.5059009838499503,0.5755551475575922,OK,30.23881860741678,0.23262864242014514,0.16223803402162898,0.686429415694148,OK,30.23881860741678,0.02520321975562423,0.12283153353828406,0.7167658731051245,True,True,True,True,True,True,False,False,not_retained,output_interaction
debt+log_gdp_pc,debt|log_gdp_pc,2,8,2004,2017,378,27,2004,2017,10,10,True,28.54524611759692,shock_G_I|shock_G_C|debt_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_debt|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,2.4687210200439087,2,0.2910208077643962,10,378,0.9576443724090653,0.08655757741941097,0.12773096520311916,0.08146573873820974,OK,44.599941557619424,0.3551951136997187,0.1278597027527848,0.9342939825409808,OK,44.599941557619424,0.0009846289452963841,0.1349859027050363,0.769449695731621,True,True,True,True,True,True,False,False,not_retained,output_interaction
log_gdp_pc,log_gdp_pc,1,8,2004,2017,378,27,2004,2017,8,8,True,18.207944432637365,shock_G_I|shock_G_C|log_gdp_pc_z_lag1|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,0.5424963893521116,1,0.4613999792512029,8,378,0.768679124071996,0.08649663193696219,0.0,0.07401637081113775,OK,25.420559934011038,0.7105613629922656,0.05575070735127649,0.9426081164889764,OK,25.420559934011038,0.0222716167726138,0.13749306440697653,0.7349965523925807,True,True,True,True,True,True,False,False,not_retained,output_interaction
debt+liq+log_gdp_pc,debt|liq|log_gdp_pc,3,8,2004,2017,378,27,2004,2017,12,12,True,29.142423983644612,shock_G_I|shock_G_C|debt_z_lag1|liq_z_lag1|log_gdp_pc_z_lag1|shock_G_I_x_debt|shock_G_I_x_liq|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,2.103248933431418,3,0.5512557616692697,12,378,0.8950864340262409,0.6058736270774855,0.5059009838499503,0.5755551475575922,OK,61.8439286288077,0.11495275908548663,0.2200816301672661,0.7874032349051078,OK,61.8439286288077,0.00016019805186640035,0.12883370454063345,0.7566438955070173,True,True,True,True,True,True,False,False,not_retained,output_interaction
