path,horizon,incremental_y,K_Y_cumulative,incremental_g,K_G_cumulative,K_Y_over_K_G,nobs,country_n,year_min,year_max
linear_benchmark,0,1.1623801975595205,1.1623801975595205,1.0,1.0,1.1623801975595205,583,27,2004,2025
linear_benchmark,1,0.9378919157258663,2.1002721132853868,0.005469770029625766,1.0054697700296258,2.0888466027412274,557,27,2004,2024
linear_benchmark,2,0.13809280427400392,2.2383649175593905,-0.16465245031635,0.8408173197132758,2.6621298884788525,531,27,2004,2023
linear_benchmark,3,-0.25311076145324457,1.985254156106146,-0.1219612887234181,0.7188560309898576,2.7616853313068415,506,27,2004,2022
linear_benchmark,4,-0.18403127523031018,1.801222880875836,-0.03232186211712436,0.6865341688727333,2.623646371211771,481,27,2004,2021
linear_benchmark,5,0.030373259922174215,1.8315961407980101,0.0026874386754679866,0.6892216075482013,2.657485082793078,456,27,2004,2020
linear_benchmark,6,0.031838384482127155,1.8634345252801372,-0.01984150345541021,0.669380104092791,2.7838212009686853,431,27,2004,2019
linear_benchmark,7,0.13656669680211794,2.0000012220822554,0.0400844702776226,0.7094645743704137,2.819029017561698,405,27,2004,2018
linear_benchmark,8,0.22543152994263657,2.2254327520248918,0.06659222249866187,0.7760567968690756,2.867615825289051,378,27,2004,2017
trade,0,1.3791126873307011,1.3791126873307011,1.0,1.0,1.3791126873307011,531,27,2004,2023
trade,1,0.9094254251918167,2.288538112522518,0.013505790455234357,1.0135057904552343,2.258041477488333,531,27,2004,2023
trade,2,-0.02126452500724702,2.267273587515271,-0.17636857461341635,0.837137215841818,2.708365539853965,531,27,2004,2023
trade,3,-0.44048859970958143,1.8267849878056894,-0.13712970196246474,0.7000075138793533,2.609664827284321,506,27,2004,2022
trade,4,-0.3525152428826991,1.4742697449229902,-0.06050362985965116,0.6395038840197022,2.3053335276968703,481,27,2004,2021
trade,5,-0.19566610432952722,1.278603640593463,-0.005641825029505209,0.6338620589901969,2.0171638646906893,456,27,2004,2020
trade,6,-0.02100609253757955,1.2575975480558834,-0.035476349162531146,0.5983857098276658,2.101650369321269,431,27,2004,2019
trade,7,0.22557517643579258,1.4831727244916761,0.05620457990042983,0.6545902897280956,2.265803125658582,405,27,2004,2018
trade,8,0.31466721817583715,1.7978399426675131,0.07196875783203038,0.726559047560126,2.4744581306982263,378,27,2004,2017
liq,0,1.1796701513717092,1.1796701513717092,1.0,1.0,1.1796701513717092,583,27,2004,2025
liq,1,1.076843352441873,2.256513503813582,0.031232234010216894,1.031232234010217,2.1881720037382246,557,27,2004,2024
liq,2,0.11215646079116211,2.368669964604744,-0.18570247341236681,0.84552976059785,2.8014034218380734,531,27,2004,2023
liq,3,-0.3983128038368942,1.97035716076785,-0.1278791426795131,0.717650617918337,2.7455660339054586,506,27,2004,2022
liq,4,-0.2524720435239773,1.7178851172438727,-0.02391703965718092,0.693733578261156,2.47628941581544,481,27,2004,2021
liq,5,0.044495914451810885,1.7623810316956836,0.0017174642699202885,0.6954510425310764,2.5341554242000166,456,27,2004,2020
liq,6,0.010553972845616572,1.7729350045413002,-0.016191209373192305,0.6792598331578841,2.6100984012243327,431,27,2004,2019
liq,7,0.16140690906732674,1.934341913608627,0.03606001038887092,0.7153198435467549,2.704163642403126,405,27,2004,2018
liq,8,0.3014118337022739,2.235753747310901,0.05186848797146597,0.7671883315182209,2.9142176118430725,378,27,2004,2017
debt,0,1.1338257952708586,1.1338257952708586,1.0,1.0,1.1338257952708586,583,27,2004,2025
debt,1,0.842366294215199,1.9761920894860576,0.00503669663011661,1.0050366966301165,1.9662884908702545,557,27,2004,2024
debt,2,0.04924713626462297,2.025439225750681,-0.1775980390831678,0.8274386575469488,2.447842153949349,531,27,2004,2023
debt,3,-0.3382555701580442,1.6871836555926363,-0.13275846599994764,0.6946801915470011,2.4287199723305823,506,27,2004,2022
debt,4,-0.24015395390433683,1.4470297016882996,-0.0399900064089445,0.6546901851380567,2.2102510997368316,481,27,2004,2021
debt,5,0.015834820870575313,1.4628645225588748,0.006197531677159802,0.6608877168152165,2.2134842051662615,456,27,2004,2020
debt,6,0.018068006636714973,1.48093252919559,-0.0060962434414078975,0.6547914733738086,2.2616857265490875,431,27,2004,2019
debt,7,0.10325106519004935,1.5841835943856393,0.03449219877581421,0.6892836721496228,2.298304251782364,405,27,2004,2018
debt,8,0.1971599224646352,1.7813435168502745,0.063377967025245,0.7526616391748677,2.3667255299514616,378,27,2004,2017
equal_weight_retained_single_features,0,1.2308695446577562,1.2308695446577562,1.0,1.0,1.2308695446577562,531,27,2004,2025
equal_weight_retained_single_features,1,0.942878357282963,2.173747901940719,0.01659157369852262,1.0165915736985225,2.1382706272414564,531,27,2004,2024
equal_weight_retained_single_features,2,0.046713024016179355,2.2204609259568984,-0.17988969570298363,0.836701877995539,2.6538256747748536,531,27,2004,2023
equal_weight_retained_single_features,3,-0.39235232456817326,1.828108601388725,-0.1325891035473085,0.7041127744482304,2.59632926390421,506,27,2004,2022
equal_weight_retained_single_features,4,-0.2817137467703377,1.5463948546183877,-0.04147022530859219,0.6626425491396383,2.333678778439742,481,27,2004,2021
equal_weight_retained_single_features,5,-0.045111789669047005,1.5012830649493403,0.0007577236391916273,0.66340027277883,2.2630124323898957,456,27,2004,2020
equal_weight_retained_single_features,6,0.002538628981583998,1.5038216939309246,-0.019254600659043785,0.6441456721197861,2.334598770154078,431,27,2004,2019
equal_weight_retained_single_features,7,0.16341105023105623,1.667232744161981,0.04225226302170498,0.6863979351414912,2.4289594400051695,405,27,2004,2018
equal_weight_retained_single_features,8,0.2710796581142488,1.9383124022762297,0.06240507094291378,0.748803006084405,2.5885478377176057,378,27,2004,2017
